,References..............................................................................................................................................................................9,
0,Additional migration resources.......................................................................................................................................,10
1,Official documentation ..................................................................................................................................................,10
2,GitHub ..................................................................................................................................................................................,10
3,Stack Overflow ..................................................................................................................................................................,11
4,YouTube channels............................................................................................................................................................,11
5,"Twitter, Gitter, Slack, and other community channels.......................................................................................",11
6,References...........................................................................................................................................................................,11
7,Architectural differences between ASP.NET MVC and ASP.NET Core...............................................12,
8,Breaking changes..................................................................................................................................................................,12
9,App startup differences between ASP.NET MVC and ASP.NET Core ...............................................................,12
10,ASP.NET MVC Startup ....................................................................................................................................................,13
11,ASP.NET Core Startup.....................................................................................................................................................,13
12,Porting considerations ...................................................................................................................................................,14
13,References...........................................................................................................................................................................,14
14,Hosting differences between ASP.NET MVC and ASP.NET Core .......................................................................,14
15,References...........................................................................................................................................................................,15
16,Serve static files in ASP.NET MVC and ASP.NET Core ............................................................................................,15
17,Host static files in ASP.NET MVC ...............................................................................................................................,15
18,Host static files in ASP.NET Core................................................................................................................................,15
19,References...........................................................................................................................................................................,16
20,Dependency injection differences between ASP.NET MVC and ASP.NET Core...........................................,16
21,Dependency injection in ASP.NET Core ..................................................................................................................,16
22,References...........................................................................................................................................................................,17
23,Compare middleware to modules and handlers......................................................................................................,17
24,ASP.NET modules and handlers .................................................................................................................................,17
25,ASP.NET Core middleware............................................................................................................................................,17
26,Accessing HttpContext...................................................................................................................................................,17
27,References...........................................................................................................................................................................,18
28,Configuration differences between ASP.NET MVC and ASP.NET Core...........................................................,18
29,ASP.NET MVC configuration........................................................................................................................................,19
30,ASP.NET Core configuration,19
